Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES
483,AUTARQUIA EDUCACIONAL PARA O DESENV CULTURAL DO CABO,11.690.351/0001-98,Pessoa Jurídica de Direito Público - Municipal,720,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DO CABO DE SANTO AGOSTINHO (FACHUCA),FACHUCA,(81) 35210483,www.fachuca.edu.br,fachuca@fachuca.edu.br,Rua do Campo - S/N - CEP: 54510-110 - Destilaria,Cabo de Santo Agostinho,PE,Faculdade,Presencial - Superior,Publica,Pública Municipal,28/07/1992,-,,-,,3,2022,,,,Ativa
468,AUTARQUIA EDUCACIONAL DO ARARIPE,11.469.541/0001-80,Pessoa Jurídica de Direito Público - Municipal,5664,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE ARARIPINA - FACISA (FACISA),FACISA,8738731001,,sac.facisa@aeda.edu.br,Rodovia Araripina/Lagoa de Dentro Km2 - s/n - CEP: 56280-000 - Vila Santa Maria,Araripina,PE,Faculdade,Presencial - Superior,Publica,Especial,02/05/2006,-,,-,,2,2022,,,,Ativa
430,AUTARQUIA EDUCACIONAL DE SERRA TALHADA AESET,11.115.011/0001-33,Pessoa Jurídica de Direito Público - Municipal,15410,Faculdade de Ciencias Humanas e Sociais de Serra Talhada (FACHUSST),FACHUSST,8738312311,,magna.mourato@hotmail.com,"Avenida Afonso Magalhães, s/n FAFOPST-Faculdade de Formação de Professores de Serra Talhada - s/n - CEP: 56912-902 - Várzea",Serra Talhada,PE,Faculdade,Presencial - Superior,Publica,Especial,19/02/2008,-,,-,,4,2022,,,,Ativa
284,ASSOCIACAO RECIFENSE DE EDUCACAO E CULTURA,10.473.817/0001-30,Privada sem fins lucrativos,410,FACULDADE DE CIÊNCIAS HUMANAS ESUDA (FCHE),FCHE,(81) 3412 4242,www.esuda.edu.br,claudia_barretto@hotmail.com,Rua Almeida Cunha - 100 - CEP: 50050-480 - Santo Amaro,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,08/05/1974,3,2018,-,,3,2022,,,,Ativa
14514,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,38.733.648/0001-40,Privada com fins lucrativos,22147,Faculdade de Ciências Jurídicas de Belo Jardim,-,,,ddi@kroton.com.br; quezia.rebula@cogna.com.br,Rua Doutor Henrique Nascimento - 41 - CEP: 55155-580 - São Pedro,Belo Jardim,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,16/07/2019,3,2024,-,,-,,,,,Ativa
56,AUTARQUIA EDUCACIONAL DA MATA SUL,08.653.818/0001-15,Pessoa Jurídica de Direito Público - Municipal,4356,FACULDADE DE CIÊNCIAS SOCIAIS DOS PALMARES (FACIP),FACIP,(81) 3661 1876,www.aemasul.edu.br,facipdocumentos@hotmail.com,Br 101 K 186 Sul - s/n - CEP: 55540-000 - Engenho São Manoel,Palmares,PE,Faculdade,Presencial - Superior,Publica,Especial,31/08/2004,-,,-,,2,2022,,,,Ativa
16637,IESPE- INSTITUTO DE EDUCACAO SUPERIOR DE PERNAMBUCO LTDA - ME,21.950.590/0001-93,Privada com fins lucrativos,21583,FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO (FAESPE),FAESPE,,,marciomugnol@gmail.com,Rua São Francisco - 446 - CEP: 56308-060 - Atrás da Banca,Petrolina,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,16/11/2017,3,2023,-,,2,2022,,,,Ativa
15798,"SOEVASF SOCIEDADE DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E SOCIAL DO VALE DO SAO FRANCISCO LTDA",13.193.710/0001-27,Privada com fins lucrativos,17715,FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO (FACESP),FACESP,(87) 3862-1363,www.facespedu.com.br,profhonoratoneto@gmail.com,Rua Matias de Albuquerque - 123 - CEP: 56306-220 - Gercino Coelho,Petrolina,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,19/07/2016,3,2022,5,2022,2,2022,,,,Ativa
16816,FACULDADE VALE DO PAJEU LTDA - EPP,26.817.470/0001-36,Privada com fins lucrativos,24991,FACULDADE DE EDUCAÇÃO VALE DO PAJEÚ (FVP),FVP,81 99691-5520,,cleonildo10@hotmail.com;gildasio@lupa-rj.com.br,Quadra 01 - lotes 04 a 08 - CEP: 55660-000 - Loteamento Riacho Verdejante,Bezerros,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,24/10/2022,4,2021,-,,-,,,,,Ativa
56,AUTARQUIA EDUCACIONAL DA MATA SUL,08.653.818/0001-15,Pessoa Jurídica de Direito Público - Municipal,72,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL (FAMASUL),FAMASUL,081-3661-0625,www.famasul.edu.br,famasuldocumentos@gmail.com,Br 101 Km 186 Sul - S/N - CEP: 55540-000 - ENGENHO SAO MANOEL,Palmares,PE,Faculdade,Presencial - Superior,Publica,Especial,14/06/1972,-,,-,,2,2022,,,,Ativa
468,AUTARQUIA EDUCACIONAL DO ARARIPE,11.469.541/0001-80,Pessoa Jurídica de Direito Público - Municipal,703,FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA (FAFOPA),FAFOPA,(87) 3873.1001,portalaeda.edu.br,fafopa@hotmail.com,Avenida Florentino Alves Batista - S/N - CEP: 56280-000 - Centro,Araripina,PE,Faculdade,Presencial - Superior,Publica,Especial,21/05/1979,-,,-,,2,2019,,,,Ativa
430,AUTARQUIA EDUCACIONAL DE SERRA TALHADA AESET,11.115.011/0001-33,Pessoa Jurídica de Direito Público - Municipal,657,FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA (FAFOPST),FAFOPST,87999079070,aeset.edu.br,re.mmedeiros@hotmail.com,Avenida Afonso Magalhães - S/N - CEP: 56900-000 - NSª DA CONCEIÇÃO,Serra Talhada,PE,Faculdade,Presencial - Superior,Publica,Especial,19/07/1983,-,,-,,3,2022,,,,Ativa
16620,CENTRO DE ENSINO SUPERIOR DE GOIANA LTDA - ME,18.963.487/0001-73,Privada com fins lucrativos,21556,FACULDADE DE GOIANA (FAG),FAG,8199256-5731,www.faculdadedegoiana.com.br,secretaria@faculdadedegoiana.com.br; alexandre@faculdadedegoiana.com.br; suellensmedeiros1@gmail.com,Avenida Nunes Machado - 199 - CEP: 55900-000 - Centro,Goiana,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,07/05/2018,5,2023,-,,3,2022,,,,Ativa
15559,BARROS MELO ENSINO SUPERIOR S.A.,13.671.759/0001-48,Privada com fins lucrativos,16879,Faculdade de Medicina de Olinda (FMO),FMO,(81) 30115454,www.fmo.edu.br,barrosmelo09@gmail.com,Rua Doutor Manoel de Almeida Belo - 1333 - CEP: 53030-030 - Bairro Novo,Olinda,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,27/09/2016,5,2022,-,,-,,,,,Ativa
1547,SOCIEDADE REGIONAL DE ENSINO E SAUDE LTDA,04.600.555/0001-25,Privada com fins lucrativos,24470,Faculdade de Medicina do Sertão (FMS),FMS,(87) 2101-4289,medicinadosertao.com.br,secretaria.presidencia@slmandic.edu.br,Avenida Osvaldo Cruz - 10.017 - CEP: 56512-670 - São Cristóvão,Arcoverde,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,04/06/2020,5,2024,-,,-,,,,,Ativa
2009,FUNDACAO ODONTOLOGICA PRESIDENTE CASTELLO BRANCO,11.526.498/0001-47,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,3146,FACULDADE DE ODONTOLOGIA DO RECIFE (FOR),FOR,(81) 3221 3325 e 3423 7553,www.for.edu.br,secretaria@for.edu.br,Rua Artur Coutinho - 143 - CEP: 50100-280 - Santo Amaro,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,23/08/2002,4,2023,-,,3,2022,,,,Ativa
460,AUTARQUIA EDUCACIONAL DO VALE DO SAO FRANCISCO,11.157.971/0001-66,Pessoa Jurídica de Direito Público - Municipal,692,FACULDADE DE PETROLINA (FACAPE),FACAPE,8738663208,www.facape.br,moises.almeida@facape.br,Campus Universitário - S/N - CEP: 56328-903 - VILA EDUARDO,Petrolina,PE,Faculdade,Presencial - Superior,Publica,Especial,24/10/1978,-,,3,2021,3,2022,,,,Ativa
17338,FACULDADE FLORESTA LTDA,32.598.882/0001-25,Privada com fins lucrativos,24056,Faculdade de Saúde do Sertão de Pernambuco (FASPE),FASPE,,,fasspe@outlook.com,"Avenida Governador Paulo Pessoa Guerra, - 618 - CEP: 56400-000 - CENTRO",Floresta,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,11/10/2022,4,2021,-,,-,,,,,Ativa
16093,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,07.714.798/0001-82,Privada com fins lucrativos,22762,Faculdade de Tecnologia e Ciências - FTC Caruaru (FTC - Caruaru),FTC - Caruaru,,https://www.uniftc.edu.br,avalia@ftc.edu.br;lsoares@ftc.edu.br;vrangel.fsa@ftc.edu.br,Rua Marechal Cândido Rondon - 214 - CEP: 55032-350 - Petrópolis,Caruaru,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,15/01/2020,3,2018,-,,-,,,,Em Descredenciamento voluntário,Ativa
16093,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,07.714.798/0001-82,Privada com fins lucrativos,20607,Faculdade de Tecnologia e Ciências - FTC Petrolina (FTC Petrolina),FTC Petrolina,0800 056 6666,http://www.ftc.br/petrolina/home/,amello@ftc.edu.br;lsoares@ftc.edu.br;dcocco.jua@ftc.edu.br,Avenida Clementino Coelho - 714 - CEP: 56308-210 - Centro,Petrolina,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,23/05/2017,4,2022,5,2021,4,2022,,,,Ativa
13506,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,03.789.272/0001-00,Privada sem fins lucrativos,14412,FACULDADE DE TECNOLOGIA SENAI PERNAMBUCO,-,81 32025132,,tatyana.gugelmin@sistemafiepe.org.br,Avenida Norte Miguel Arraes de Alencar - 539 - CEP: 50100-000 - Santo Amaro,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,28/02/2013,3,2017,-,,-,,,,Em Descredenciamento voluntário,Ativa
2132,ASSOCIACAO CULTURAL TEOLOGICA DO NORDESTE,04.528.095/0001-71,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,3376,FACULDADE DE TEOLOGIA INTEGRADA (FATIN),FATIN,(81)98791 8647 (81)3543 3259,www.fatin.com.br,hilgerly@hotmail.com; secretaria.igarassu@fatin.com.br,"BR 101 Km 42,5 - s/n - CEP: 53610-970 - Centro",Igarassu,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,16/05/2005,4,2020,4,2018,2,2022,,,,Ativa
454,AUTARQUIA EDUCACIONAL DO MUNICIPIO DO BELO JARDIM,11.464.153/0001-06,Pessoa Jurídica de Direito Público - Municipal,685,FACULDADE DO BELO JARDIM (FBJ),FBJ,8137268100,www.aeb.edu.br,lindhiane.farias@prof.aeb.edu.br,Sítio Inhumas - s/n - CEP: 55150-000 - Zona Rural,Belo Jardim,PE,Faculdade,Presencial - Superior,Publica,Especial,19/08/1976,-,,-,,2,2022,,,,Ativa
1125,APESU ENSINO SUPERIOR DE PERNAMBUCO LTDA,11.870.359/0001-36,Privada com fins lucrativos,2242,FACULDADE DO RECIFE (FAREC),FAREC,(11)5586 4291,,pigeral@unip.br;pigeral2020@gmail.com,Rua Dom Bosco - 551 - CEP: 50070-070 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,23/12/2002,4,2021,-,,3,2022,,,,Ativa
709,AUTARQUIA EDUCACIONAL DE AFOGADOS DA INGAZEIRA-AEDAI,11.479.037/0001-60,Pessoa Jurídica de Direito Público - Municipal,1012,FACULDADE DO SERTÃO DO PAJEÚ (FASP),FASP,(87) 3838 1579/(87) 99652-2229,www.aedaifasp.com.br,aedaifasp2016@gmail.com,Rua Doutor Osvaldo Gouveia - S/N - CEP: 56800-000 - CENTRO,Afogados da Ingazeira,PE,Faculdade,Presencial - Superior,Publica,Especial,14/01/1986,-,,-,,3,2022,,,,Ativa
16619,REDE FLORENCE DE ENSINO LTDA,24.300.479/0001-40,Privada com fins lucrativos,21557,FACULDADE DOS PALMARES (FAP),FAP,(81) 3264.1918 / (81) 99861.6467 / (81) 99233.2108,www.faculdadedospalmares.com.br,secretaria@faculdadedospalmares.com.br,"RODOVIA BR 101, KM 188 - S/N - CEP: 55540-000 - JAPARANDUBA",Palmares,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,23/05/2018,4,2024,-,,-,,,,,Ativa
15463,SEDESPE - SOCIEDADE EDUCACIONAL DE DESENVOLVIMENTO REGIONAL DE PERNAMBUCO LTDA. - ME,07.986.684/0001-91,Privada com fins lucrativos,16525,FACULDADE DUARTE COELHO (FDC),FDC,81 994391678,,alexbfonseca3@gmail.com,PE-90 - s/n - CEP: 55750-000 - Loteamento Maracajá,Surubim,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,04/11/2013,3,2012,-,,3,2022,,,,Ativa
16636,FACULDADE SA AGUIAR LTDA - EPP,24.402.969/0001-57,Privada com fins lucrativos,21574,FACULDADE EGAS MONIZ (FEM),FEM,81-3341.1747,www.egasmoniz.com.br,gerezfigueiredo@hotmail.com,Rua João Cardoso Aires - 705 - CEP: 51130-300 - Boa Viagem,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,16/11/2018,4,2018,-,,-,,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
16466,CENTRO EDUCACIONAL E DESPORTIVO ELO LTDA. - ME,22.269.052/0001-09,Privada com fins lucrativos,20666,Faculdade ELO (FAELO),FAELO,"813461,1035",www.faelo.com.br,faelorecife@gmail.com,Rua José Paraíso - 189 - CEP: 51030-390 - Boa Viagem,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,08/03/2018,3,2023,-,,2,2022,,,,Ativa
1245,ENSIGEST - BRASIL LTDA - EPP,03.111.461/0001-20,Privada com fins lucrativos,1894,FACULDADE EUROPÉIA DE TECNOLOGIA E CIÊNCIAS HUMANAS - EUROTECH (EUROTECH),EUROTECH,(81) 3461 4008,www.faculdadeeuropeia.com.br,faleconosco@faculdadefepam.com.br,Avenida Zequinha Barreto - 343 - CEP: 54400-090 - Piedade,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,10/12/2001,3,2016,-,,3,2021,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
3144,INSTITUTO OPTOMETRICO DE PERNAMBUCO,05.783.107/0001-77,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,10613,FACULDADE FASUP (FASUP),FASUP,(81) 30103119,www.fasup.com,darla@fasup.com,Avenida Doutor Cláudio José Gueiros Leite - 3580 - CEP: 53437-000 - Janga,Paulista,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,20/01/2011,3,2017,4,2022,2,2022,,,,Ativa
16605,CENTRO DE ENSINO GRAU T LTDA.,24.050.766/0001-49,Privada com fins lucrativos,21928,FACULDADE GRAU S ENSINO SUPERIOR (GRAU),GRAU,8131256850,,"ruymauricio@grautecnico.com.br, juridico@grautecnico.com.br, julioborba00@gmail.com",Avenida Conde da Boa Vista - 1245 - CEP: 50060-003 - Soledade,Recife,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,17/02/2020,3,2017,4,2019,-,,,,,Ativa
17448,EQUIPE EDUCACIONAL GH LTDA,33.856.347/0001-90,Privada com fins lucrativos,21982,Faculdade Integrada CETE (FIC),FIC,87 99953-5900,https://www.ficgaranhuns.com.br/,faculdadeintegradaceta@gmail.com; humbertorochimin@yahoo.com.br; educacionaldirecao@gmail.com,Rodovia BR-423 - S/N - CEP: 55295-130 - São José,Garanhuns,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,15/01/2019,4,2024,-,,-,,,,,Ativa
15967,CENTRO TECNOLOGICO DE DESENVOLVIMENTO LTDA - ME,06.294.555/0001-70,Privada com fins lucrativos,18267,FACULDADE INTEGRADA DE GESTÃO E MEIO AMBIENTE (FACIGMA),FACIGMA,81 3032-2408,www.facigma.org,regobarrosfilho@hotmail.com,Rua do Hospício - 362 - CEP: 50050-050 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,19/07/2016,3,2014,-,,2,2022,,,,Ativa
16214,SOCIEDADE DE EDUCACAO E TECNOLOGIA VIEIRA DE JABOATAO LTDA,19.773.583/0001-11,Privada com fins lucrativos,19716,Faculdade Integral de Jaboatão dos Guararapes (FIJ),FIJ,,,lauro.vieira@gmail.com,Rua Marechal Hermes da Fonseca - 20 - CEP: 54400-333 - Piedade,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,07/11/2017,3,2016,-,,-,,,,,Ativa
17311,INSTITUTO LUIZ MARIO MOUTINHO LTDA,19.831.816/0001-95,Privada com fins lucrativos,25157,Faculdade Luiz Mário Moutinho (FLMM),FLMM,81 30382284,https://faculdadeluizmariomoutinho.com.br/website/,academico@institutoluizmariomoutinho.com.br ; antonio@amaciel.com.br;,Avenida Governador Agamenon Magalhães - 4779 - CEP: 50070-160 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,07/10/2021,4,2020,-,,-,,,,Em supervisão - Procedimento Sancionador,Ativa
1154,ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA,04.224.338/0001-88,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,19838,Faculdade Lusitana de Pernambuco (FALUP),FALUP,,,jolimpioneto@yahoo.com.br,Avenida Congresso Eucarístico Internacional - 01 - CEP: 55811-000 - Santa Cruz,Carpina,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,03/06/2019,3,2018,-,,2,2022,,,,Ativa
1154,ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA,04.224.338/0001-88,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,1749,FACULDADE LUSO-BRASILEIRA (FALUB),FALUB,(81) 3621 0668,www.falub.edu.br,maurifalub@crape.com.br;fptavares2003@yahoo.com.br;secretaria@falub.edu.br,Avenida Congresso Eucarístico Internacional - 01 - CEP: 55811-000 - Santa Cruz,Carpina,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,06/07/2001,3,2017,-,,3,2022,,,,Ativa
16812,AMORIM ENSINO TECNICO E SUPERIOR LTDA,11.233.879/0001-38,Privada com fins lucrativos,22073,FACULDADE MACÊDO DE AMORIM (FAMAM),FAMAM,35234210,,faculdademacedodeamorim@gmail.com,Rua Conselheiro Severino Francisco Alves - 174 - CEP: 55602-635 - Livramento,Vitória de Santo Antão,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,15/01/2019,4,2022,-,,3,2022,,,,Ativa
1100,UNIAO DAS ESCOLAS SUPERIORES DE JABOATAO-UNESJ,02.662.317/0001-19,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,1675,FACULDADE METROPOLITANA DA GRANDE RECIFE (UNESJ),UNESJ,(81) 2128 0500,www.metropolitana.edu.br,metropolitana@metropolitana.edu.br,Avenida Barreto de Menezes - 809 - CEP: 54410-100 - Piedade,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,23/03/2001,4,2019,4,2019,2,2022,,,,Ativa
17110,AALP ENSINO E EDUCACAO LIMITADA,29.815.187/0001-63,Privada com fins lucrativos,23383,FACULDADE NACIONAL (FANAC),FANAC,81 3127-0730,www.fanac.com.br,contato@fanac.com.br,Rua Engenheiro Oscar Ferreira - 15 - CEP: 52061-020 - Poço,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,13/01/2020,3,2019,3,2019,-,,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
16449,ALPHA SISTEMAS EDUCACIONAIS E TREINAMENTOS - EIRELI,15.708.483/0001-50,Privada com fins lucrativos,19197,FACULDADE NIP DE CIÊNCIAS APLICADAS (FANIP),FANIP,8130322655,www.fanip.com.br,diretoria@fanip.com.br,Avenida Cruz Cabugá - 98 - CEP: 50040-000 - Santo Amaro,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,15/02/2017,3,2015,-,,-,,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
2994,CENTRO BRASILEIRO DE PROFISSIONALIZACAO EMPRESARIAL LTDA,06.302.344/0001-31,Privada com fins lucrativos,4700,FACULDADE NOVA ROMA (FNR),FNR,(81)21288000,https://portal.novaroma.edu.br/,mauricelia.montenegro@romaeducacional.com.br;mbvidal@uol.com.br;alexandrecordel@gmail.com,Rua Benfica - 352 - CEP: 50720-001 - Madalena,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,21/05/2007,5,2019,-,,3,2022,,,,Ativa
2994,CENTRO BRASILEIRO DE PROFISSIONALIZACAO EMPRESARIAL LTDA,06.302.344/0001-31,Privada com fins lucrativos,159,FACULDADE NOVA ROMA CARUARU (FNR CARUARU),FNR CARUARU,(81) 2128-8000,https://portal.novaroma.edu.br/,diretoria@novaroma.edu.br; mauricelia.montenegro@romaeducacional.com.br;alexandrecordel@gmail.com,Rua Azevedo Coutinho - s/n - CEP: 55030-902 - Petrópolis,Caruaru,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,12/04/1961,4,2018,-,,3,2021,,,,Ativa
16517,"INESP- INSTITUTO NACIONAL DE ENSINO, SOCIEDADE E PESQUISA",22.664.347/0001-71,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,20975,FACULDADE NOVO HORIZONTE (FNH),FNH,81- 31451605,www.fnh.edu.br,emec@anovaeducacao.com,Rua Eurico Valois - 61 A - CEP: 55604-013 - Centro,Vitória de Santo Antão,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,07/02/2018,3,2022,-,,-,,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
19660,"INSTITUTO NACIONAL DE ENSINO, SOCIEDADE E PESQUISA - INESP",53.300.805/0001-17,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1383,FACULDADE NOVO HORIZONTE DE IPOJUCA (FNH),FNH,8135511221,www.fnh.edu.br,"emec@anovaeducacao.com, fnh@fnh.edu.br",Avenida Francisco Alves de Souza - 500 - CEP: 55590-000 - Centro,Ipojuca,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,03/11/1999,3,2018,-,,3,2022,,,,Ativa
2141,FIUSA EDUCACIONAL S/SIMPLES LTDA,04.242.942/0001-37,Privada com fins lucrativos,24457,Faculdade Paraíso Araripina (FAP),FAP,,,fap@fapce.edu.br,Avenida Suetone Nunes de Alencar Barros - 101 - CEP: 56280-000 - Centro,Araripina,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,22/01/2021,-,,-,,-,,,,,Ativa
2291,ASSOCIACAO EDUCACIONAL DE CIENCIAS DA SAUDE - AECISA,05.834.842/0001-62,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,3615,FACULDADE PERNAMBUCANA DE SAÚDE (FPS),FPS,8130357777,www.fps.edu.br,carla.figueiroa@fps.edu.br,Avenida Marechal Mascarenhas de Morais - 4861 - CEP: 51150-000 - Imbiribeira,Recife,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,01/09/2005,4,2017,5,2022,3,2022,,,,Ativa
14514,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,38.733.648/0001-40,Privada com fins lucrativos,24909,Faculdade Pitágoras Unidade Caruaru,-,31-21260303,,ddi@kroton.com.br;danielle.fnonato@kroton.com.br,Avenida Cleto Campelo - 36 - CEP: 55012-340 - Maurício de Nassau,Caruaru,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,17/07/2023,4,2021,-,,-,,,,Unificação de Mantidas,Ativa
15871,COLEGIO PRESBITERIANO QUINZE DE NOVEMBRO,11.240.058/0001-29,Privada sem fins lucrativos,17985,FACULDADE PRESBITERIANA QUINZE DE NOVEMBRO,-,81 994391678,,mcolegioquizedenovembro@gmail.com,Praça Souto Filho - 696 - CEP: 55295-400 - Heliópolis,Garanhuns,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,20/09/2018,4,2018,-,,-,,,,,Ativa
16058,CENTRO DE ENSINO SUPERIOR DE SERRA TALHADA LIMITADA - EPP,18.692.635/0001-62,Privada com fins lucrativos,18471,Faculdades Aggeu Magalhães (FAMA),FAMA,83996306056,www.aggeumagalhaes.com.br,fransueldosousa@gmail.com,Rua Antônio Alves de Oliveira - 1687 - CEP: 56912-160 - AABB,Serra Talhada,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,28/12/2016,4,2022,-,,-,,,,,Ativa
2271,CESAC CENTRO DE ENSINO SUPERIOR SANTA CRUZ LTDA - EPP,05.744.399/0001-39,Privada com fins lucrativos,3585,FACULDADE SANTA CRUZ (FACRUZ),FACRUZ,(81) 3731 4364,www.cesac.edu.br,direcaogeralcesac@gmail.com,Rua Rua Júlia Aragão - 307 - CEP: 55192-365 - Bairro Novo,Santa Cruz do Capibaribe,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,27/09/2004,3,2011,-,,2,2021,,,"Em supervisão - Procedimento Sancionador sem Medida Cautelar, Suspensão contrato FIES, Suspensão PROUNI",Ativa
917,ASSOCIACAO SECULO XXI DE EDUCACAO CIENCIA E CULTURA,02.417.543/0001-34,Privada sem fins lucrativos,1384,FACULDADE SANTA HELENA (FSH),FSH,(81) 37976060,www.fsh.edu.br,marcelo.pimentel@fsh.edu.br,Avenida Caxangá - 990 - CEP: 50711-000 - Madalena,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,04/10/1999,4,2024,-,,3,2022,,,,Ativa
16289,CENTRO DE ENSINO SUPERIOR SANTISSIMA TRINDADE LIMITADA,19.833.500/0001-32,Privada com fins lucrativos,19607,FACULDADE SANTISSIMA TRINDADE (FAST),FAST,"83,96206643",www.edufast.com.br,carminha.vale@yahoo.com.br,RUA PROFESSOR AMÉRICO BRANDÃO - 46 - CEP: 55800-000 - CENTRO,Nazaré da Mata,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,21/12/2016,5,2023,4,2022,-,,,,,Ativa
